Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Syrup, apple | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;0,912890716;0,003334964;0,000494734;0,000639345;0,307741508;0,044334108;427;Stroop appel-;Suiker, snoep, zoet beleg en zoete sauzen;Syrup apple;Sugar, sweets and sweet sauces;
Sugar granulated | Ambient (long) | Sugar packaging - 1 kg | No preparation | consumed/NL Economic;;;1,282862263;0,006419228;0,000830299;0,004135683;1,007084595;0,003834823;377;Suiker kristal-;Suiker, snoep, zoet beleg en zoete sauzen;Sugar granulated;Sugar, sweets and sweet sauces;
Cooking fat liquid 97% fat <17 g sat | Cooled | PET bottle, non returnable | No preparation | consumed/NL Economic;;;3,502575638;0,012042269;0,001390004;0,002923024;10,65470343;0,040778798;2562;Bak- en braadvet vlb 97% vet <17g verz vetz ongezouten;Vetten en oliën;Cooking fat liq 97% fat <17g sat fa unsalted;Fats and oils;
Butter, salted | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;10,40642375;0,038077714;0,001513212;0,011784388;4,624189155;0,081193376;879;Boter gezouten;Vetten en oliën;Butter salted;Fats and oils;
Butter, unsalted | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;10,40507299;0,038071109;0,001512351;0,011784202;4,624124572;0,081172808;310;Boter ongezouten;Vetten en oliën;Butter unsalted;Fats and oils;
Butter product half fat | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;5,454966888;0,019262767;0,000908918;0,005800053;2,277278816;0,043974524;1530;Boterproduct halfvolle;Vetten en oliën;Butter product half fat;Fats and oils;
Low fat margarine 40% fat <17 g sat | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;1,751229964;0,005430332;0,000709498;0,001038337;4,675153474;0,032689763;2059;Halvarine 40% vet <17 g verz vetz gezouten;Vetten en oliën;Low fat margarine 40% fat <17 g sat fa salted;Fats and oils;
Margarine 80% fat 17-24 g saturates | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,218595678;0,009173932;0,001344449;0,002136016;8,403238176;0,048481771;2062;Margarine 80% vet < 24 g verz vetz gezouten;Vetten en oliën;Margarine 80% fat <24 g sat fa salted;Fats and oils;
Margarine 80% fat >24 g saturates | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,218595678;0,009173932;0,001344449;0,002136016;8,403238176;0,048481771;2063;Margarine 80% vet >24 g verz vetz gezouten;Vetten en oliën;Margarine 80% fat >24 g sat fa salted;Fats and oils;
Margarine liq 80% fat < 17g sat unsalted | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,218595678;0,009173932;0,001344449;0,002136016;8,403238176;0,048481771;2558;Margarine vlb 80% vet <17 g verz vetz ongezouten;Vetten en oliën;Margarine liq 80% fat <17g sat fa unsalted;Fats and oils;
Margarine liq 80% fat <17 g saturates | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,218595678;0,009173932;0,001344449;0,002136016;8,403238176;0,048481771;2077;Margarine vloeibaar 80% vet <17 g verz vetz gezouten;Vetten en oliën;Margarine liq 80% fat <17 g sat fa salted;Fats and oils;
Margarine product 60% fat <17 g sat | Cooled | Plastic cup - 250 gram | Chilled at consumer | consumed/NL Economic;;;2,484912821;0,007302132;0,001026973;0,001587176;6,539195825;0,040585767;2072;Margarineproduct 60% vet <17 g verz vetz ongez;Vetten en oliën;Margarine product 60% fat <17 g sat fa unsalted;Fats and oils;
Rapeseed oil | Ambient (average) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;3,281712241;0,011584615;0,001292615;0,003535361;10,06538934;0,007688235;3449;Olie koolzaad-/raapzaad-;Vetten en oliën;Oil rapeseed;Fats and oils;
Maize oil | Ambient (average) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;3,866798342;0,035372383;0,001423077;0,003635795;5,803675092;0,196051353;608;Olie mais/maiskiem-;Vetten en oliën;Oil corn;Fats and oils;
Olive oil | Ambient (long) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;7,202869011;0,044254153;0,006318857;0,010726386;33,86531864;2,302432076;601;Olie olijf-;Vetten en oliën;Oil olive;Fats and oils;
Oil soy | Ambient (long) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;4,347630223;0,00547419;0,001629809;0,002239791;8,572037348;0,069956472;313;Olie soja-;Vetten en oliën;Oil soy;Fats and oils;
Sunflower oil  | Ambient (long) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;3,180090106;0,013991919;0,00119774;0,002173991;13,96025439;0,104188035;317;Olie zonnebloem-;Vetten en oliën;Oil sunflower seed;Fats and oils;
Frying fat horeca | Cooled | PET bottle, non returnable | No preparation | consumed/NL Economic;;;3,313519094;0,012663141;0,001278221;0,002762292;11,72725277;0,056919422;2525;Vet frituur- horeca;Vetten en oliën;Frying fat horeca;Fats and oils;
Trout | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;12,19292186;0,021711919;0,008777909;0,002184496;4,833350529;0,093769657;1611;Forel bereid in magnetron z toev;Vis;Trout prepared in microwave oven no ingredients added;Fish;
Shrimps, Dutch peeled | Cooled | Meat packaging (PP) - 1 kg | Boiling | consumed/NL Economic;;;18,95903787;0,056698211;0,052082586;0,031766329;13,76169631;0,377904236;348;Garnalen Hollandse gekookt;Vis;Shrimps Dutch boiled;Fish;
Herring, salted | Cooled | Meat packaging (PP) - 1 kg | No preparation | consumed/NL Economic;;;0,768115009;0,002601411;0,005978785;0,001500364;0,021223512;0,023803924;350;Haring gezouten;Vis;Herring salted;Fish;
Herring pickled (sweet)sour | Cooled | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;0,985038449;0,00401151;0,006068443;0,001500136;0,033074035;0,026612561;1100;Haring in (zoet)zuur;Vis;Herring pickled (sweet)sour;Fish;
Herring pickled (sweet)sour | Cooled | Glass jar - 720 ml | Pan frying | consumed/NL Economic;;;1,199066221;0,004754209;0,006774519;0,001678935;0,103022322;0,030341156;1100;Haring in (zoet)zuur;Vis;Herring pickled (sweet)sour;Fish;
Herring fillet in tomato sauce | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;0,88230613;0,003876867;0,003908835;0,001021603;0,161847744;0,034426732;349;Haringfilet in tomatensaus blik;Vis;Herring fillet in tomato sauce tinned;Fish;
Cod | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;5,20406141;0,020240238;0,006312596;0,000185422;0,150397211;0,033174012;1315;Kabeljauwfilet gebakken/gestoofd;Vis;Cod fillet fried/simmered;Fish;
Pollack, fillet | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;1,506857527;0,005290309;0,006223324;0,000175506;0,092333867;0,037144453;919;Koolvis (Atlantisch) gekookt;Vis;Pollock (Atlantic) boiled;Fish;
White fish fillet, in batter  | Cooled | Meat packaging (PP) - 1 kg | Deep frying | consumed/NL Economic;;;4,122018203;0,014786632;0,003529477;0,001447895;1,835373892;0,034856493;818;Lekkerbekje gefrituurd in plantaardige olie;Vis;White fish fillet in batter deep-fried in vegetable oil;Fish;
Mackerel steamed | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;1,091003832;0,003059885;0,000293573;2,83631E-05;0,083280903;0,004975739;604;Makreel gestoomd;Vis;Mackerel steamed;Fish;
Mackerel fillet, smoked | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;0,944434721;0,003124774;0,000276048;1,68543E-05;0,020774558;0,004378351;1586;Makreelfilet gerookt;Vis;Mackerel fillet smoked;Fish;
Mussels boiled | Cooled | Meat packaging (PP) - 1 kg | Boiling | consumed/NL Economic;;;4,786061996;0,013457075;0,001679992;0,000127283;0,110941642;0,030920489;111;Mosselen gekookt;Vis;Mussels boiled;Fish;
Pangasius | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;11,20363533;0,018340011;0,010377409;0,005657661;13,67653051;0,181622755;2765;Pangasius bereid in magnetron z toev;Vis;Pangasius bereid in magnetron z toev;Fish;
Plaice, fillet | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;5,650192922;0,022095031;0,006200386;0,000183202;0,157437573;0,03290667;817;Schol gebakken;Vis;Plaice fried;Fish;
Tilapia  | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;21,8543535;0,040726473;0,01568196;0,004602904;11,96840248;0,202019366;2299;Tilapia rauw;Vis;Tilapia raw;Fish;
Lemon sole | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;5,650192922;0,022095031;0,006200386;0,000183202;0,157437573;0,03290667;3321;Tongschar rauw;Vis;Lemon sole raw;Fish;
Tuna in oil | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;15,43646238;0,063865104;0,009588052;0,001657678;0,24660967;0,049135596;1589;Tonijn in olie blik;Vis;Tuna in oil tinned;Fish;
Fish fingers | Frozen | Cardboard box | Pan frying | consumed/NL Economic;;;5,148159028;0,018702212;0,005152352;0,001365044;1,375732227;0,032833561;814;Vissticks gebakken in zonnebloemolie;Vis;Fish fingers fried in sunflower oil;Fish;
Salmon (aquaculture) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;6,392281689;0,016640271;0,002259643;0,064998894;6,947712677;0,072685971;602;Zalm blik;Vis;Salmon tinned;Fish;
Salmon (wild caught) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,09239558;0,011578511;0,006986951;0,001633733;0,116817634;0,021723296;602;Zalm blik;Vis;Salmon tinned;Fish;
Salmon, smoked (aquaculture) | Cooled | Meat packaging (PP) - 1 kg | No preparation | consumed/NL Economic;;;6,371083206;0,0166697;0,00225815;0,064988657;7,884864272;0,072164632;1096;Zalm gerookt;Vis;Salmon smoked;Fish;
Salmon, smoked (wild caught) | Cooled | Meat packaging (PP) - 1 kg | No preparation | consumed/NL Economic;;;3,071197096;0,01160794;0,006985457;0,001623496;1,05396923;0,021201956;1096;Zalm gerookt;Vis;Salmon smoked;Fish;
Salmon, fillet (aquaculture) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;6,392281689;0,016640271;0,002259643;0,064998894;6,947712677;0,072685971;1587;Zalm kweek- rauw;Vis;Salmon farmed raw;Fish;
Salmon, fillet (wild caught) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,09239558;0,011578511;0,006986951;0,001633733;0,116817634;0,021723296;1587;Zalm kweek- rauw;Vis;Salmon farmed raw;Fish;
Claresse (catfish) fillet | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;28,27563404;0,052134989;0,023720019;0,004120546;8,603563654;0,24902115;;;Vis;;Fish;
Cod, in batter (kibbeling) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,796489571;0,013381619;0,005341012;0,001135818;1,386676549;0,036065031;;;Vis;;Fish;
Minced beef/pork  | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;17,868283;0,069254991;0,003725807;0,02458393;12,73223219;0,106966402;1326;Gehakt hoh rul gebakken;Vlees en gevogelte;Minced beef/pork shallow fried;Meat and poultry;
Minced beef  | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;25,54543393;0,082199534;0,004365589;0,039219526;14,32671821;0,156173498;1405;Gehakt runder- rauw;Vlees en gevogelte;Minced beef raw;Meat and poultry;
Minced beef shallow fried | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;25,54543393;0,082199534;0,004365589;0,039219526;14,32671821;0,156173498;1540;Gehakt runder- rul gebakken;Vlees en gevogelte;Minced beef shallow fried;Meat and poultry;
Hamburger | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;26,0497174;0,082089447;0,004616265;0,038646004;14,12822225;0,160719341;1435;Hamburger rauw;Vlees en gevogelte;Hamburger raw;Meat and poultry;
Veal <5% fat | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;26,58939454;0,1957713;0,00413667;0,025685756;16,14436304;0,254272101;1673;Kalfsvlees <5 g vet gem rauw;Vlees en gevogelte;Veal <5% fat raw av;Meat and poultry;
Chicken, w skin | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;6,548834637;0,038611432;0,002246952;0,005887309;8,789809257;0,077411542;1633;Kip m vel bereid;Vlees en gevogelte;Chicken w skin prepared;Meat and poultry;
Chicken fillet prepared | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;4,43455496;0,026277494;0,001503241;0,004022927;6,023676459;0,052130422;1392;Kipfilet bereid;Vlees en gevogelte;Chicken fillet prepared;Meat and poultry;
Chicken fillet  | Cooled | Meat packaging (PP) - 1 kg | No preparation | consumed/NL Economic;;;4,352124715;0,026146342;0,001474603;0,004010754;5,957528428;0,051496855;1634;Kipfilet rauw;Vlees en gevogelte;Chicken fillet raw;Meat and poultry;
Chicken schnitzel | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;4,35150703;0,024553038;0,001555915;0,004158341;6,87732788;0,059353975;2364;Kipschnitzel gepaneerd rauw;Vlees en gevogelte;Chicken schnitzel breaded raw;Meat and poultry;
Beef frying steak | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;26,66230413;0,084107044;0,004670843;0,039690115;14,50675162;0,162664823;1539;Runderbaklappen bereid;Vlees en gevogelte;Beef frying steak prepared;Meat and poultry;
Beef rump steak | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;26,66230413;0,084107044;0,004670843;0,039690115;14,50675162;0,162664823;1536;Runderbiefstuk bereid;Vlees en gevogelte;Beef rump steak prepared;Meat and poultry;
Sausage beef Braadworst | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;26,29945576;0,082798586;0,004637598;0,038984831;14,2524605;0,161014106;3030;Runderbraadworst rauw;Vlees en gevogelte;Sausage beef Braadworst raw;Meat and poultry;
Beef roast | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;32,57867489;0,10337378;0,005661735;0,048876565;18,11213742;0,199301307;1545;Runderrosbief bereid;Vlees en gevogelte;Beef roast prepared;Meat and poultry;
Bacon rasher speklap | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;13,72020768;0,075933992;0,004091384;0,013397114;15,00585069;0,078084447;1432;Speklap rauw;Vlees en gevogelte;Bacon rasher raw;Meat and poultry;
Sausage, pork (braadworst) | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;13,96666759;0,059000738;0,003459569;0,0161996;10,99271206;0,082691424;1551;Varkensbraadworst bereid;Vlees en gevogelte;Sausage pork Braadworst prepared;Meat and poultry;
Pork tenderloin prepared | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;11,7733424;0,065097795;0,00351136;0,01148504;12,87114823;0,066972731;1556;Varkenshaas bereid;Vlees en gevogelte;Pork tenderloin prepared;Meat and poultry;
Pork shoulder chop | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;13,68134385;0,075704386;0,004092237;0,013354577;14,95630701;0,077919003;1559;Varkensschouderkarbonade bereid;Vlees en gevogelte;Pork shoulder chop prepared;Meat and poultry;
Pork <5% fat | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;11,7733424;0,065097795;0,00351136;0,01148504;12,87114823;0,066972731;1667;Varkensvlees <5 g vet rauw gem;Vlees en gevogelte;Pork <5% fat raw av;Meat and poultry;
Pork 5-14% fat | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;11,7733424;0,065097795;0,00351136;0,01148504;12,87114823;0,066972731;1668;Varkensvlees 5-14 g vet rauw gem;Vlees en gevogelte;Pork 5-14% fat raw av;Meat and poultry;
Sausage, frankfurter | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;12,96527455;0,048257253;0,00302058;0,016108334;8,273784279;0,088534944;566;Worst knak- blik/glas;Vlees en gevogelte;Sausage frankfurter tinned;Meat and poultry;
Sausage, frankfurter | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;12,35170369;0,047591892;0,002821863;0,016095386;8,267139417;0,08288904;566;Worst knak- blik/glas;Vlees en gevogelte;Sausage frankfurter tinned;Meat and poultry;
Sausage, frankfurter | Ambient (long) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;12,77088183;0,04733401;0,002804312;0,016098147;8,279114975;0,077209427;566;Worst knak- blik/glas;Vlees en gevogelte;Sausage frankfurter tinned;Meat and poultry;
Sausage, frankfurter | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;12,15731098;0,046668648;0,002605595;0,016085199;8,272470113;0,071563524;566;Worst knak- blik/glas;Vlees en gevogelte;Sausage frankfurter tinned;Meat and poultry;
Sausage smoked cooked average | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;18,19811038;0,057180981;0,003225683;0,026865903;9,99257916;0,112462057;324;Worst rook- gekookt gem;Vlees en gevogelte;Sausage smoked cooked av;Meat and poultry;
Sausage, smoke-cooked beef | Cooled | Meat packaging (PP) - 1 kg | Boiling | consumed/NL Economic;;;18,81168124;0,057846343;0,0034244;0,026878851;9,999224022;0,118107961;2301;Worst rook- runder gekookt;Vlees en gevogelte;Sausage smoked beef cooked;Meat and poultry;
Sausage, smoke-cooked beef | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;18,19811038;0,057180981;0,003225683;0,026865903;9,99257916;0,112462057;2301;Worst rook- runder gekookt;Vlees en gevogelte;Sausage smoked beef cooked;Meat and poultry;
Sausage smooked pork cooked | Ambient (average) | Meat packaging (PP) - 1 kg | Boiling | consumed/NL Economic;;;8,974126406;0,043796999;0,002693783;0,00770648;8,365641884;0,053041993;2766;Worst rook- varkens gekookt;Vlees en gevogelte;Sausage smoked pork cooked;Meat and poultry;
Drink soya Fresh Light Alpro | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,465995857;0,000807524;0,00021356;0,000111154;0,272851591;0,00605311;2858;Drink soja- Light Alpro;Vleesvervangers en zuivelvervangers;Drink soya Light Alpro;Meat substitutes and dairy substitutes;
Soya drink, natural | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,609304169;0,001520185;0,000214161;0,000188264;0,390920073;0,006270323;870;Drink soja- naturel;Vleesvervangers en zuivelvervangers;Drink soya natural;Meat substitutes and dairy substitutes;
Drink soya several flavours Alpro | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,682804627;0,001027383;0,000351221;0,000201748;0,76195256;0,007932711;5542;Drink soja- vruchten/vanille m suiker verrijkt m calcium en vitamines;Vleesvervangers en zuivelvervangers;Drink soya fruit/vanilla w sugar fortified w calcium and vitamins;Meat substitutes and dairy substitutes;
Mincemeat vegetarian unprepared | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,999086986;0,016794183;0,001705264;0,002855878;5,866771969;0,059998304;2047;Gehakt fijn- vegetarisch onbereid;Vleesvervangers en zuivelvervangers;Mincemeat vegetarian unprepared;Meat substitutes and dairy substitutes;
Vegetarian hamburger | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;2,472249622;0,003658724;0,000803349;0,000880301;2,366247364;0,016975093;1511;Hamburger vegetarisch onbereid;Vleesvervangers en zuivelvervangers;Hamburger vegetarian unprep;Meat substitutes and dairy substitutes;
Quorn minced | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,675118358;0,007084762;0,0007288;0,000828361;3,660278098;0,019560167;2030;Quorn fijngehakt onbereid;Vleesvervangers en zuivelvervangers;Quorn minced unprepared;Meat substitutes and dairy substitutes;
Vegetable burger vegetarian | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;3,191263834;0,012244144;0,001468005;0,001913977;3,04101634;0,042290238;2286;Schijf vegetarisch onbereid;Vleesvervangers en zuivelvervangers;Burger vegetarian unprepared;Meat substitutes and dairy substitutes;
Tahoe soya curd | Ambient (short) | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;2,74594472;0,003218214;0,000922301;0,000725226;2,730732469;0,029394996;687;Tahoe bereid z vet;Vleesvervangers en zuivelvervangers;Tahoe soya curd;Meat substitutes and dairy substitutes;
Vegetarian schnitzel Valles | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;4,026836301;0,016650587;0,001599849;0,003018067;3,848910233;0,044272057;2282;Valess schnitzel onbereid;Vleesvervangers en zuivelvervangers;Vegetarian schnitzel Valess unprepared;Meat substitutes and dairy substitutes;
Sausage, luncheon vegetarian, sandwich meat | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;3,721309927;0,015827354;0,001592923;0,002701541;5,510432014;0,056379944;2541;Worst boterham- vegetarisch;Vleesvervangers en zuivelvervangers;Sausage luncheon meat vegetarian;Meat substitutes and dairy substitutes;
Filet americain  | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;14,79166132;0,047239673;0,002803467;0,021115834;10,08510118;0,108322003;810;Filet americain;Vleeswaren;Beef steak tartare spiced filet americain;Cold meat cuts;
Minced meat loaf (sandwich meat) | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;7,621228413;0,038808862;0,002112253;0,008356827;7,545761474;0,044341431;1155;Gehakt gebraden (vleeswaar);Vleeswaren;Meatloaf (processed meat product);Cold meat cuts;
Ham lean | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;10,42053121;0,055246228;0,003145055;0,009651851;10,76144098;0,058622268;784;Ham achter-;Vleeswaren;Ham lean boiled;Cold meat cuts;
Ham shoulder medium fat | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;10,42723306;0,055300092;0,003147317;0,00965708;10,76962729;0,058903308;785;Ham schouder-;Vleeswaren;Ham shoulder medium fat boiled;Cold meat cuts;
Chicken fillet, sandwich meat | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;5,960531349;0,032943784;0,002061131;0,004938396;7,339956115;0,067256246;2654;Kipfilet (vleeswaar);Vleeswaren;Chicken (processed meat product);Cold meat cuts;
Beef, smoked-dried | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;23,31747032;0,073905884;0,004057654;0,034925461;12,72208941;0,142500615;340;Runderrookvlees;Vleeswaren;Beef smoke-dried;Cold meat cuts;
Bacon, streaky  | Cooled | Meat packaging (PP) - 1 kg | No preparation | consumed/NL Economic;;;10,42053121;0,055246228;0,003145055;0,009651851;10,76144098;0,058622268;639;Spek ontbijt-;Vleeswaren;Bacon rasher streaky;Cold meat cuts;
Bacon, streaky  | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;17,44350195;0,092241887;0,005268681;0,016098308;18,00402602;0,098558102;1775;Spek ontbijt- gegrild;Vleeswaren;Bacon rasher streaky grilled;Cold meat cuts;
Sausage, luncheon, sandwich meat | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;6,055292577;0,03094771;0,00185269;0,005405853;5,954750873;0,035059279;567;Worst boterham-;Vleeswaren;Sausage luncheon meat;Cold meat cuts;
Sausage, salami saveloy | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;13,12983074;0,051822868;0,00297589;0,016200797;9,478659325;0,077192475;638;Worst cervelaat-;Vleeswaren;Salami sausage saveloy;Cold meat cuts;
Sausage, cooked beef | Cooled | Meat packaging (PP) - 1 kg | Boiling | consumed/NL Economic;;;14,09435931;0,052970037;0,003205404;0,017128206;9,559423134;0,085455083;1162;Worst gekookte;Vleeswaren;Sausage cooked;Cold meat cuts;
Sausage, raw beef (ox) | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;20,5665257;0,064928154;0,003603842;0,030635699;11,1518017;0,125511563;2768;Worst ossen-;Vleeswaren;Sausage raw beef;Cold meat cuts;
Salami | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;13,12983074;0,051822868;0,00297589;0,016200797;9,478659325;0,077192475;1152;Worst salami;Vleeswaren;Salami;Cold meat cuts;
Liver pate | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;5,199653754;0,02545733;0,001613771;0,004337782;4,834317275;0,031582172;1239;Worst smeerlever-;Vleeswaren;Liver pate sausage;Cold meat cuts;
