Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Olives in brine | Ambient (long) | Glass jar - 720 ml | Chilled at consumer | consumed/NL Economic;;;1,583378634;0,008423228;0,001155408;0,00174705;5,41500054;0,373916598;3336;Olijven gem in water blik/glas;Fruit;Olives av in brine tinned/glass;Fruits;
Olives in brine | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,523994743;0,008338158;0,001124258;0,001745029;5,414062762;0,373458186;3336;Olijven gem in water blik/glas;Fruit;Olives av in brine tinned/glass;Fruits;
Olives tinned/glass | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,523994743;0,008338158;0,001124258;0,001745029;5,414062762;0,373458186;3336;Olijven gem in water blik/glas;Fruit;Olives av in brine tinned/glass;Fruits;
Pear with skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,301236555;0,001326362;0,00013587;0,000499181;0,258675715;0,01672198;2748;Peer m schil;Fruit;Pear w skin;Fruits;
Pear without skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,359169727;0,001589233;0,000168089;0,000593694;0,307254519;0,019923619;168;Peer z schil;Fruit;Pear wo skin;Fruits;
Peach w skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,480612688;0,002057947;0,000293174;0,000179127;0,553431421;0,175384296;5079;Perzik m schil;Fruit;Peach w skin;Fruits;
Peach wo skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,498479263;0,002136005;0,000305215;0,000185859;0,573693957;0,181813725;169;Perzik z schil;Fruit;Peach wo skin;Fruits;
Orange | Ambient (short) | Plastic net (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,629328841;0,003183683;0,000360102;0,000152014;0,489620788;0,188891596;171;Sinaasappel;Fruit;Orange;Fruits;
Figs, dried | Ambient (long) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;2,361572376;0,009299786;0,001512835;0,001392233;6,024702449;0,791704687;193;Vijgen gedroogd;Fruit;Figs dried;Fruits;
Figs, fresh | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,807036364;0,003434122;0,000473674;0,000389267;1,559557183;0,209273749;1010;Vijgen vers;Fruit;Figs fresh;Fruits;
Apple turnover wo butter | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,873315559;0,005805697;0,000747078;0,00173099;2,502005196;0,009598249;2560;Appelflap m bladerdeeg z roomboter;Gebak en koek;Apple turnover w puff pastry wo butter;Pastry and biscuits;
Biscuit, sweet | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,663494602;0,00980214;0,00126979;0,003781059;2,485514758;0,008289294;252;Biscuit;Gebak en koek;Biscuit;Pastry and biscuits;
Biscuits averaged | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,663494602;0,00980214;0,00126979;0,003781059;2,485514758;0,008289294;252;Biscuit;Gebak en koek;Biscuit;Pastry and biscuits;
Biscuit, fruit | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,664616116;0,012298645;0,001209824;0,003051022;4,281615255;0,037812584;2232;Biscuit fruit-;Gebak en koek;Biscuit fruit;Pastry and biscuits;
Biscuit, brown/wholemeal | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,902391711;0,00990766;0,001430252;0,003943875;2,661837751;0,008321109;263;Biscuit tarwe-/volkoren-;Gebak en koek;Biscuit brown/wholemeal;Pastry and biscuits;
Cake, w butter | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;5,601677866;0,025849448;0,001515156;0,007131955;4,317112146;0,053018496;1969;Cake m roomboter;Gebak en koek;Cake made w butter;Pastry and biscuits;
Cake, w butter | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;5,498069031;0,025701024;0,001460808;0,007128428;4,315475978;0,05221869;1969;Cake m roomboter;Gebak en koek;Cake made w butter;Pastry and biscuits;
Cake, wo butter | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;3,089013177;0,01609566;0,001362838;0,003896222;4,928898946;0,040172632;253;Cake z roomboter;Gebak en koek;Cake wo butter;Pastry and biscuits;
Cake, wo butter | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,985404342;0,015947236;0,00130849;0,003892695;4,927262778;0,039372827;253;Cake z roomboter;Gebak en koek;Cake wo butter;Pastry and biscuits;
Cake sponge Dutch Eierkoek | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,434144747;0,012258564;0,001061108;0,004501328;2,399118568;0,017813688;254;Koek eier-;Gebak en koek;Cake sponge Dutch Eierkoek;Pastry and biscuits;
Almond paste filled tarts  | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,670327515;0,014483172;0,001473405;0,005388075;3,498945808;0,347781277;257;Koek gevulde gem;Gebak en koek;Almond paste filled tarts av;Pastry and biscuits;
Cake Dutch spiced Ontbijtkoek | Ambient (short) | Paper foil - 250 gram | No preparation | consumed/NL Economic;;;1,457608107;0,007963509;0,000688387;0,001926947;2,018014359;0,019752884;240;Koek ontbijt-;Gebak en koek;Cake Dutch spiced Ontbijtkoek;Pastry and biscuits;
Chocolate chip cookie | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;5,778598873;0,010466514;0,003344865;0,004118594;10,28725762;0,011139808;2405;Koekje chocolate chip cookie;Gebak en koek;Chocolate chip cookie;Pastry and biscuits;
Biscuit spiced Speculaas | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,663494602;0,00980214;0,00126979;0,003781059;2,485514758;0,008289294;261;Speculaas gem;Gebak en koek;Biscuit spiced Speculaas av;Pastry and biscuits;
Appel pie Dutch w shortbread w butter | Ambient (short) | Cardboard box | Chilled at consumer | consumed/NL Economic;;;3,368630483;0,012295607;0,001231233;0,003388316;1,964612464;0,035715897;2622;Taart appel- v zandtaartdeeg m roomboter;Gebak en koek;Appel pie Dutch w shortbread w butter;Pastry and biscuits;
Apple pie Dutch w shortbread w marg | Ambient (short) | Cardboard box | Chilled at consumer | consumed/NL Economic;;;2,153993997;0,007926443;0,001094717;0,00194856;2,22942037;0,02875998;251;Taart appel- v zandtaartdeeg z roomboter;Gebak en koek;Apple pie Dutch w shortbread wo butter;Pastry and biscuits;
Cake with whipped cream | Cooled | Cardboard box | Chilled at consumer | consumed/NL Economic;;;3,564067561;0,013752226;0,000851187;0,004192286;2,086089261;0,027756729;255;Taart slagroom-;Gebak en koek;Gateau w whipped cream;Pastry and biscuits;
Cream slice Dutch Tompouce | Cooled | Cardboard box | Chilled at consumer | consumed/NL Economic;;;2,614232896;0,008306041;0,000800736;0,00288085;1,964334327;0,017081698;468;Tompouce;Gebak en koek;Cream slice Dutch Tompouce;Pastry and biscuits;
Waffle, syrup  | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,60787719;0,014318432;0,00109419;0,003794692;2,891728979;0,030801957;713;Wafel stroop- gem;Gebak en koek;Waffle syrup av;Pastry and biscuits;
Flour wheat, white  | Ambient (long) | Sugar packaging - 1 kg | No preparation | consumed/NL Economic;;;0,991681313;0,006705205;0,000592199;0,003066699;2,021491054;0,006027921;220;Bloem tarwe- patent;Graanproducten en bindmiddelen;Flour wheat white;Cereals and cereal products;
Dough for pizza and savoury pie | Ambient (average) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;1,406291615;0,006299057;0,000708849;0,002475649;2,241598608;0,009348962;1914;Brooddeeg (bodem voor pizza/hartige taart) onbereid;Graanproducten en bindmiddelen;Dough for pizza and savoury pie unprepared;Cereals and cereal products;
Dough for pizza and savoury pie | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,30268278;0,006150633;0,000654501;0,002472122;2,23996244;0,008549157;1914;Brooddeeg (bodem voor pizza/hartige taart) onbereid;Graanproducten en bindmiddelen;Dough for pizza and savoury pie unprepared;Cereals and cereal products;
Barley grain | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,843302083;0,005409158;0,00050062;0,002586527;1,850091897;0,003648968;1890;Gerst hele korrel rauw;Graanproducten en bindmiddelen;Barley whole grain raw;Cereals and cereal products;
Wheat germ | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,342018541;0,00907447;0,000755625;0,004238943;2,702820794;0,00663916;231;Kiemen tarwe-;Graanproducten en bindmiddelen;Wheat germ;Cereals and cereal products;
Maize starch | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,304172159;0,01240958;0,000589146;0,001214429;1,886127617;0,064203199;215;Maizena;Graanproducten en bindmiddelen;Cornstarch;Cereals and cereal products;
Potato starch | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,270432117;0,007336305;0,000902878;0,003251426;1,113281421;0,015855925;226;Meel aardappelzetmeel;Graanproducten en bindmiddelen;Starch, potato;Cereals and cereal products;
Rye flour | Ambient (average) | Sugar packaging - 1 kg | No preparation | consumed/NL Economic;;;1,244215176;0,007563802;0,000730779;0,002812785;2,981544675;0,00456862;218;Meel rogge-;Graanproducten en bindmiddelen;Flour rye;Cereals and cereal products;
Oatmeal | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,307071416;0,006380078;0,000684225;0,002621338;3,466838263;0,007983099;213;Mout haver-;Graanproducten en bindmiddelen;Oatmeal;Cereals and cereal products;
Muesli crunchy plain/w fruit | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,830276182;0,008438053;0,000893613;0,002531005;4,175698048;0,029567448;2366;Muesli krokante naturel/m fruit;Graanproducten en bindmiddelen;Muesli crunchy plain/w fruit;Cereals and cereal products;
