Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Metropolitan,Schijf van Vijf (50-50),Plant Protein,26360.337374175004
Metropolitan,Schijf van Vijf (50-50),Staples,436635.9856122587
Metropolitan,Schijf van Vijf (50-50),Rice,35036.59587290588
Metropolitan,Schijf van Vijf (50-50),Veg & Fruit,207363.09901019998
Metropolitan,Schijf van Vijf (50-50),Ultra-Processed,685892.6602998242
Metropolitan,Schijf van Vijf (50-50),Soups,28706.737362974993
Metropolitan,Schijf van Vijf (50-50),Beverages & Additions,32556.2998446
Metropolitan,Schijf van Vijf (50-50),Fats (Butter),93464.6722266029
Metropolitan,Schijf van Vijf (50-50),Oils (Plant-based),131984.99936999998
Metropolitan,Schijf van Vijf (50-50),Condiments,29395.992359685
