Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet (Planetary),Amsterdam Theoretical,Condiments,19017.38122633592
Schijf van 5 (Guideline),Amsterdam Theoretical,Red Meat,1091723.2681918733
Schijf van 5 (Guideline),Amsterdam Theoretical,Poultry,87807.55635606922
Schijf van 5 (Guideline),Amsterdam Theoretical,Dairy (Milk & Milkproducts),564531.0616789336
Schijf van 5 (Guideline),Amsterdam Theoretical,Cheese & Eggs,234699.5657430818
Schijf van 5 (Guideline),Amsterdam Theoretical,Fish,124379.52042172848
Schijf van 5 (Guideline),Amsterdam Theoretical,Plant Protein,174830.54465211026
Schijf van 5 (Guideline),Amsterdam Theoretical,Staples,696515.3441363215
Schijf van 5 (Guideline),Amsterdam Theoretical,Rice,95065.25265812954
Schijf van 5 (Guideline),Amsterdam Theoretical,Veg & Fruit,609793.0234523106
Schijf van 5 (Guideline),Amsterdam Theoretical,Ultra-Processed,325263.7403744289
Schijf van 5 (Guideline),Amsterdam Theoretical,Soups,64908.63748819457
Schijf van 5 (Guideline),Amsterdam Theoretical,Beverages & Additions,24371.82557027995
Schijf van 5 (Guideline),Amsterdam Theoretical,Fats (Butter),37290.40961908631
Schijf van 5 (Guideline),Amsterdam Theoretical,Oils (Plant-based),111911.44394516305
Schijf van 5 (Guideline),Amsterdam Theoretical,Condiments,21924.69532934572
Mediterranean Diet,Amsterdam Theoretical,Red Meat,776558.1146174456
Mediterranean Diet,Amsterdam Theoretical,Poultry,73456.17227795214
Mediterranean Diet,Amsterdam Theoretical,Dairy (Milk & Milkproducts),472263.3523108707
Mediterranean Diet,Amsterdam Theoretical,Cheese & Eggs,195087.13441409793
Mediterranean Diet,Amsterdam Theoretical,Fish,182088.8401115729
Mediterranean Diet,Amsterdam Theoretical,Plant Protein,226041.46796729558
Mediterranean Diet,Amsterdam Theoretical,Staples,733760.1411208588
Mediterranean Diet,Amsterdam Theoretical,Rice,111835.77330973675
Mediterranean Diet,Amsterdam Theoretical,Veg & Fruit,742514.4953292941
Mediterranean Diet,Amsterdam Theoretical,Ultra-Processed,198332.06196507148
Mediterranean Diet,Amsterdam Theoretical,Soups,81449.82485890127
Mediterranean Diet,Amsterdam Theoretical,Beverages & Additions,33682.57125071804
Mediterranean Diet,Amsterdam Theoretical,Fats (Butter),25735.121081879894
Mediterranean Diet,Amsterdam Theoretical,Oils (Plant-based),140430.73251534702
Mediterranean Diet,Amsterdam Theoretical,Condiments,19743.520764009532
Monitor 2024 (Current),Metropolitan (High Risk),Red Meat,1531725.3918549935
Monitor 2024 (Current),Metropolitan (High Risk),Poultry,152797.59980269673
Monitor 2024 (Current),Metropolitan (High Risk),Dairy (Milk & Milkproducts),480266.8942557947
Monitor 2024 (Current),Metropolitan (High Risk),Cheese & Eggs,234185.6681038165
Monitor 2024 (Current),Metropolitan (High Risk),Fish,105814.1350173254
Monitor 2024 (Current),Metropolitan (High Risk),Plant Protein,116027.63474561802
Monitor 2024 (Current),Metropolitan (High Risk),Staples,598902.0243745737
Monitor 2024 (Current),Metropolitan (High Risk),Rice,183807.8006242507
Monitor 2024 (Current),Metropolitan (High Risk),Veg & Fruit,395109.4383359898
Monitor 2024 (Current),Metropolitan (High Risk),Ultra-Processed,421042.109855457
Monitor 2024 (Current),Metropolitan (High Risk),Soups,50200.10388496694
Monitor 2024 (Current),Metropolitan (High Risk),Beverages & Additions,27792.777821370582
Monitor 2024 (Current),Metropolitan (High Risk),Fats (Butter),56239.29823586799
Monitor 2024 (Current),Metropolitan (High Risk),Oils (Plant-based),108189.87906242875
Monitor 2024 (Current),Metropolitan (High Risk),Condiments,24724.993695067045
Amsterdam Theoretical,Metropolitan (High Risk),Red Meat,1503772.7851570267
Amsterdam Theoretical,Metropolitan (High Risk),Poultry,96431.08294582661
