Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
Dutch Goal,Staples,81657.54396604052,462726.08247422957,544383.6264402701,15.000000000000002,85.0
Dutch Goal,Rice,10510.978761871764,59562.212983939986,70073.19174581175,15.000000000000002,85.0
Dutch Goal,Veg & Fruit,63946.73219476501,362364.815770335,426311.5479651,15.000000000000005,85.0
Dutch Goal,Ultra-Processed,32551.198478640916,184456.79137896514,217007.98985760607,15.000000000000002,84.99999999999999
Dutch Goal,Soups,7176.68434074375,40667.877930881245,47844.56227162499,15.000000000000002,85.0
Dutch Goal,Beverages & Additions,2694.6937371375006,15269.9311771125,17964.624914250002,15.000000000000002,84.99999999999999
Dutch Goal,Fats (Butter),3710.9665025596314,21028.810181171237,24739.776683730866,15.000000000000005,85.0
Dutch Goal,Oils (Plant-based),10888.762448025002,61702.98720547499,72591.74965349998,15.000000000000005,85.00000000000001
Dutch Goal,Condiments,2322.9359889120005,13163.303937167999,15486.23992608,15.000000000000005,85.0
Amsterdam Goal,Red Meat,48578.99143677438,275280.9514750547,323859.9429118291,15.000000000000002,85.0
Amsterdam Goal,Poultry,3883.409907127937,22005.989473724978,25889.399380852916,15.0,85.0
Amsterdam Goal,Dairy (Milk & Milkproducts),24967.162380825004,141480.58682467497,166447.74920549997,15.000000000000005,85.0
Amsterdam Goal,Cheese & Eggs,14916.593685083575,84527.36421547359,99443.95790055716,15.000000000000002,85.0
Amsterdam Goal,Fish,8251.282951507214,46757.270058540875,55008.55301004809,15.0,85.0
Amsterdam Goal,Plant Protein,39375.524812050004,223127.97393495002,262503.498747,15.000000000000002,85.00000000000001
Amsterdam Goal,Staples,80498.71185720545,456159.3671908308,536658.0790480362,15.000000000000002,85.0
Amsterdam Goal,Rice,13138.723452339706,74452.76622992498,87591.48968226468,15.000000000000002,85.0
Amsterdam Goal,Veg & Fruit,67422.337178175,382059.910676325,449482.24785449996,15.000000000000002,85.0
Amsterdam Goal,Ultra-Processed,25920.16066776801,146880.91045068533,172801.07111845334,15.000000000000005,85.0
Amsterdam Goal,Soups,8612.0212088925,48801.45351705748,57413.474725949985,15.000000000000005,84.99999999999999
Amsterdam Goal,Beverages & Additions,2109.5602399305003,11954.174692939501,14063.734932870002,15.0,85.0
Amsterdam Goal,Fats (Butter),2515.0377132226095,14251.880374928118,16766.918088150727,15.000000000000002,85.0
Amsterdam Goal,Oils (Plant-based),9898.87495275,56093.624732249984,65992.49968499999,15.000000000000002,84.99999999999999
Amsterdam Goal,Condiments,2087.5627400355006,11829.5221935345,13917.08493357,15.000000000000005,85.0
EAT-Lancet,Red Meat,27514.028739143127,155912.82952181104,183426.85826095418,15.0,85.0
EAT-Lancet,Poultry,11261.888730671018,63817.36947380242,75079.25820447344,15.000000000000002,84.99999999999999
EAT-Lancet,Dairy (Milk & Milkproducts),62417.905952062516,353701.4670616875,416119.37301375,15.000000000000002,85.0
EAT-Lancet,Cheese & Eggs,5048.432879266318,28607.786315842466,33656.21919510879,15.0,84.99999999999999
EAT-Lancet,Fish,15402.394842813468,87280.23744260965,102682.63228542311,15.000000000000002,85.00000000000001
EAT-Lancet,Plant Protein,30301.556105362506,171708.8179303875,202010.37403575002,15.000000000000002,85.0
EAT-Lancet,Staples,70066.86059697247,397045.5433828441,467112.40397981653,15.0,85.00000000000001
