Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Schijf van 5 (Guideline),Amsterdam Theoretical,Poultry,64723.49845213227
Schijf van 5 (Guideline),Amsterdam Theoretical,Dairy (Milk & Milkproducts),416119.37301374995
Schijf van 5 (Guideline),Amsterdam Theoretical,Cheese & Eggs,172998.5164202614
Schijf van 5 (Guideline),Amsterdam Theoretical,Fish,91680.92168341347
Schijf van 5 (Guideline),Amsterdam Theoretical,Plant Protein,128868.686884875
Schijf van 5 (Guideline),Amsterdam Theoretical,Staples,513405.81231170555
Schijf van 5 (Guideline),Amsterdam Theoretical,Rice,70073.19174581175
Schijf van 5 (Guideline),Amsterdam Theoretical,Veg & Fruit,449482.2478545
Schijf van 5 (Guideline),Amsterdam Theoretical,Ultra-Processed,239753.9354277223
Schijf van 5 (Guideline),Amsterdam Theoretical,Soups,47844.56227162499
Schijf van 5 (Guideline),Amsterdam Theoretical,Beverages & Additions,17964.624914250002
Schijf van 5 (Guideline),Amsterdam Theoretical,Fats (Butter),27486.993937891162
Schijf van 5 (Guideline),Amsterdam Theoretical,Oils (Plant-based),82490.62460625
Schijf van 5 (Guideline),Amsterdam Theoretical,Condiments,16160.82992286
Mediterranean Diet,Amsterdam Theoretical,Red Meat,547390.9829033553
Mediterranean Diet,Amsterdam Theoretical,Poultry,51778.798761705824
Mediterranean Diet,Amsterdam Theoretical,Dairy (Milk & Milkproducts),332895.498411
Mediterranean Diet,Amsterdam Theoretical,Cheese & Eggs,137515.70712945194
Mediterranean Diet,Amsterdam Theoretical,Fish,128353.29035677889
Mediterranean Diet,Amsterdam Theoretical,Plant Protein,159335.22423945
Mediterranean Diet,Amsterdam Theoretical,Staples,517222.95769366523
Mediterranean Diet,Amsterdam Theoretical,Rice,78832.34071403823
Mediterranean Diet,Amsterdam Theoretical,Veg & Fruit,523393.84750170005
Mediterranean Diet,Amsterdam Theoretical,Ultra-Processed,139803.03636874864
Mediterranean Diet,Amsterdam Theoretical,Soups,57413.47472594999
Mediterranean Diet,Amsterdam Theoretical,Beverages & Additions,23742.63488667
Mediterranean Diet,Amsterdam Theoretical,Fats (Butter),18140.526715230873
Mediterranean Diet,Amsterdam Theoretical,Oils (Plant-based),98988.74952749998
Mediterranean Diet,Amsterdam Theoretical,Condiments,13917.08493357
Monitor 2024 (Current),Metropolitan (High Risk),Red Meat,1229780.86775539
Monitor 2024 (Current),Metropolitan (High Risk),Poultry,122677.05809116087
Monitor 2024 (Current),Metropolitan (High Risk),Dairy (Milk & Milkproducts),382358.58562634164
